"Year","Location","Open days","E. coli days","Rain days","Closed days","Swim %","E. coli %","Rain %","Closed %"
"2014","Britannia",55,0,3,0,94.8275862068966,0,5.17241379310345,5.17241379310345
"2015","Britannia",51,4,3,0,87.9310344827586,6.89655172413793,5.17241379310345,5.17241379310345
"2016","Britannia",71,1,0,0,98.6111111111111,1.38888888888889,0,0
"2017","Britannia",62,5,5,0,86.1111111111111,6.94444444444444,6.94444444444444,6.94444444444444
"2018","Britannia",66,3,3,0,91.6666666666667,4.16666666666667,4.16666666666667,4.16666666666667
"2019","Britannia",63,6,3,0,87.5,8.33333333333333,4.16666666666667,4.16666666666667
"2014","Mooneys",46,6,6,0,79.3103448275862,10.3448275862069,10.3448275862069,10.3448275862069
"2015","Mooneys",51,4,3,0,87.9310344827586,6.89655172413793,5.17241379310345,5.17241379310345
"2016","Mooneys",59,13,0,0,81.9444444444444,18.0555555555556,0,0
"2017","Mooneys",43,22,7,0,59.7222222222222,30.5555555555556,9.72222222222222,9.72222222222222
"2018","Mooneys",63,6,3,0,87.5,8.33333333333333,4.16666666666667,4.16666666666667
"2019","Mooneys",69,2,1,0,95.8333333333333,2.77777777777778,1.38888888888889,1.38888888888889
"2014","PetrieEast",50,2,6,0,86.2068965517241,3.44827586206897,10.3448275862069,10.3448275862069
"2015","PetrieEast",53,3,2,0,91.3793103448276,5.17241379310345,3.44827586206897,3.44827586206897
"2016","PetrieEast",60,12,0,0,83.3333333333333,16.6666666666667,0,0
"2017","PetrieEast",48,9,10,5,66.6666666666667,12.5,13.8888888888889,13.8888888888889
"2018","PetrieEast",57,12,3,0,79.1666666666667,16.6666666666667,4.16666666666667,4.16666666666667
"2019","PetrieEast",51,4,3,14,70.8333333333333,5.55555555555556,4.16666666666667,4.16666666666667
"2014","PetrieRiver",42,8,8,0,72.4137931034483,13.7931034482759,13.7931034482759,13.7931034482759
"2015","PetrieRiver",51,4,3,0,87.9310344827586,6.89655172413793,5.17241379310345,5.17241379310345
"2016","PetrieRiver",55,17,0,0,76.3888888888889,23.6111111111111,0,0
"2017","PetrieRiver",38,17,10,7,52.7777777777778,23.6111111111111,13.8888888888889,13.8888888888889
"2018","PetrieRiver",62,6,4,0,86.1111111111111,8.33333333333333,5.55555555555556,5.55555555555556
"2019","PetrieRiver",49,6,3,14,68.0555555555556,8.33333333333333,4.16666666666667,4.16666666666667
"2014","Westboro",48,2,8,0,82.7586206896552,3.44827586206897,13.7931034482759,13.7931034482759
"2015","Westboro",54,2,2,0,93.1034482758621,3.44827586206897,3.44827586206897,3.44827586206897
"2016","Westboro",67,5,0,0,93.0555555555556,6.94444444444444,0,0
"2017","Westboro",53,11,8,0,73.6111111111111,15.2777777777778,11.1111111111111,11.1111111111111
"2018","Westboro",64,6,2,0,88.8888888888889,8.33333333333333,2.77777777777778,2.77777777777778
"2019","Westboro",60,9,3,0,83.3333333333333,12.5,4.16666666666667,4.16666666666667
