"","Date","location","count","status","year","month","day","julian"
"93",2014-07-08,"Mooneys",24,"Rain","2014",7,8,189
"94",2014-07-08,"PetrieEast",14,"Rain","2014",7,8,189
"95",2014-07-08,"PetrieRiver",157,"Rain","2014",7,8,189
"96",2014-07-09,"Britannia",36,"Swim","2014",7,9,190
"97",2014-07-09,"Westboro",151,"Swim","2014",7,9,190
"98",2014-07-09,"Mooneys",1000,"NoSwim","2014",7,9,190
"99",2014-07-09,"PetrieEast",38,"Swim","2014",7,9,190
"100",2014-07-09,"PetrieRiver",604,"NoSwim","2014",7,9,190
"101",2014-07-10,"Britannia",30,"Swim","2014",7,10,191
"102",2014-07-10,"Westboro",45,"Swim","2014",7,10,191
"103",2014-07-10,"Mooneys",31,"Swim","2014",7,10,191
"104",2014-07-10,"PetrieEast",182,"Swim","2014",7,10,191
"105",2014-07-10,"PetrieRiver",242,"NoSwim","2014",7,10,191
"106",2014-07-11,"Britannia",16,"Swim","2014",7,11,192
"107",2014-07-11,"Westboro",22,"Swim","2014",7,11,192
"108",2014-07-11,"Mooneys",19,"Swim","2014",7,11,192
"109",2014-07-11,"PetrieEast",32,"Swim","2014",7,11,192
"110",2014-07-11,"PetrieRiver",59,"Swim","2014",7,11,192
"111",2014-07-12,"Britannia",12,"Swim","2014",7,12,193
"112",2014-07-12,"Westboro",15,"Swim","2014",7,12,193
"113",2014-07-12,"Mooneys",24,"Swim","2014",7,12,193
"114",2014-07-12,"PetrieEast",16,"Swim","2014",7,12,193
"115",2014-07-12,"PetrieRiver",29,"Swim","2014",7,12,193
"116",2014-07-13,"Britannia",10,"Swim","2014",7,13,194
"117",2014-07-13,"Westboro",16,"Rain","2014",7,13,194
"118",2014-07-13,"Mooneys",31,"Rain","2014",7,13,194
"119",2014-07-13,"PetrieEast",10,"Rain","2014",7,13,194
"120",2014-07-13,"PetrieRiver",25,"Rain","2014",7,13,194
"121",2014-07-14,"Britannia",22,"Swim","2014",7,14,195
"122",2014-07-14,"Westboro",18,"Swim","2014",7,14,195
"123",2014-07-14,"Mooneys",262,"NoSwim","2014",7,14,195
"124",2014-07-14,"PetrieEast",11,"Swim","2014",7,14,195
"125",2014-07-14,"PetrieRiver",215,"NoSwim","2014",7,14,195
"126",2014-07-15,"Britannia",18,"Swim","2014",7,15,196
"127",2014-07-15,"Westboro",17,"Swim","2014",7,15,196
"128",2014-07-15,"Mooneys",18,"Swim","2014",7,15,196
"129",2014-07-15,"PetrieEast",18,"Swim","2014",7,15,196
"130",2014-07-15,"PetrieRiver",81,"Swim","2014",7,15,196
"131",2014-07-16,"Britannia",10,"Swim","2014",7,16,197
