Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2015-08-14,Swim,Swim,Swim,NoSwim,Swim
2015-08-15,Swim,Swim,Swim,Swim,Swim
2016-06-18,Swim,Swim,Swim,Swim,Swim
2016-06-19,Swim,Swim,Swim,Swim,Swim
2016-06-20,Swim,Swim,Swim,Swim,Swim
2016-06-21,Swim,Swim,Swim,Swim,NoSwim
2016-06-22,Swim,Swim,Swim,Swim,Swim
2016-06-23,Swim,Swim,Swim,Swim,Swim
2016-06-24,Swim,Swim,Swim,Swim,Swim
2016-06-25,Swim,Swim,Swim,Swim,Swim
2016-06-26,Swim,Swim,Swim,Swim,Swim
2016-06-27,Swim,Swim,Swim,Swim,Swim
2016-06-28,Swim,Swim,Swim,Swim,Swim
2016-06-29,Swim,NoSwim,Swim,Swim,NoSwim
2016-06-30,Swim,Swim,Swim,Swim,Swim
2016-07-01,Swim,Swim,Swim,Swim,Swim
2016-07-02,Swim,Swim,Swim,Swim,Swim
2016-07-03,Swim,NoSwim,Swim,Swim,Swim
2016-07-04,Swim,Swim,Swim,Swim,Swim
2016-07-05,Swim,Swim,Swim,Swim,Swim
2016-07-06,Swim,Swim,Swim,Swim,Swim
2016-07-07,Swim,Swim,Swim,Swim,Swim
2016-07-08,Swim,Swim,Swim,NoSwim,Swim
2016-07-09,Swim,Swim,Swim,Swim,Swim
2016-07-10,Swim,Swim,Swim,Swim,Swim
2016-07-11,Swim,Swim,NoSwim,Swim,NoSwim
2016-07-12,Swim,Swim,NoSwim,Swim,NoSwim
2016-07-13,Swim,Swim,Swim,Swim,Swim
2016-07-14,Swim,Swim,Swim,NoSwim,Swim
2016-07-15,Swim,Swim,Swim,Swim,NoSwim
2016-07-16,Swim,Swim,NoSwim,Swim,NoSwim
2016-07-17,Swim,Swim,Swim,Swim,NoSwim
2016-07-18,Swim,Swim,Swim,NoSwim,Swim
2016-07-19,Swim,Swim,Swim,Swim,Swim
2016-07-20,Swim,Swim,Swim,Swim,Swim
2016-07-21,Swim,Swim,Swim,Swim,Swim
2016-07-22,Swim,Swim,Swim,Swim,Swim
2016-07-23,Swim,Swim,Swim,Swim,Swim
2016-07-24,Swim,Swim,Swim,Swim,Swim
2016-07-25,Swim,Swim,Swim,Swim,Swim
2016-07-26,Swim,Swim,Swim,Swim,Swim
2016-07-27,Swim,Swim,Swim,NoSwim,Swim
2016-07-28,Swim,Swim,Swim,Swim,Swim
2016-07-29,Swim,Swim,Swim,Swim,NoSwim
2016-07-30,Swim,Swim,Swim,Swim,Swim
2016-07-31,Swim,Swim,Swim,Swim,Swim
2016-08-01,Swim,Swim,Swim,Swim,Swim
2016-08-02,Swim,Swim,Swim,Swim,Swim
2016-08-03,Swim,Swim,Swim,Swim,Swim
2016-08-04,Swim,Swim,Swim,Swim,Swim
2016-08-05,Swim,Swim,Swim,Swim,NoSwim
2016-08-06,Swim,Swim,Swim,Swim,Swim
2016-08-07,Swim,Swim,Swim,Swim,Swim
2016-08-08,Swim,Swim,Swim,Swim,Swim
2016-08-09,Swim,Swim,Swim,Swim,Swim
2016-08-10,Swim,Swim,Swim,Swim,Swim
2016-08-11,Swim,Swim,Swim,Swim,Swim
2016-08-12,Swim,Swim,Swim,Swim,Swim
2016-08-13,Swim,Swim,Swim,Swim,Swim
2016-08-14,NoSwim,NoSwim,NoSwim,NoSwim,NoSwim
2016-08-15,Swim,NoSwim,NoSwim,NoSwim,NoSwim
2016-08-16,Swim,Swim,NoSwim,NoSwim,NoSwim
2016-08-17,Swim,Swim,NoSwim,NoSwim,NoSwim
2016-08-18,Swim,Swim,NoSwim,NoSwim,NoSwim
2016-08-19,Swim,Swim,NoSwim,NoSwim,NoSwim
2016-08-20,Swim,Swim,NoSwim,NoSwim,NoSwim
2016-08-21,Swim,Swim,Swim,NoSwim,NoSwim
2016-08-22,Swim,Swim,Swim,Swim,Swim
2016-08-23,Swim,Swim,Swim,Swim,Swim
2016-08-24,Swim,Swim,NoSwim,Swim,Swim
2016-08-25,Swim,Swim,NoSwim,Swim,Swim
2016-08-26,Swim,Swim,NoSwim,Swim,Swim
2016-08-27,Swim,NoSwim,Swim,Swim,Swim
2016-08-28,Swim,Swim,Swim,Swim,Swim
2017-06-17,Swim,Swim,Swim,Closed,Closed
2017-06-18,Swim,Swim,Swim,Closed,Closed
2017-06-19,Swim,Swim,Swim,Closed,Closed
2017-06-20,Swim,Swim,Swim,Closed,Closed
2017-06-21,Swim,Swim,Swim,Closed,Closed
2017-06-22,Swim,NoSwim,Swim,Swim,Closed
2017-06-23,Swim,Swim,Swim,Swim,Closed
2017-06-24,Swim,Swim,Swim,Swim,Swim
2017-06-25,Swim,NoSwim,NoSwim,Swim,NoSwim
2017-06-26,Swim,Swim,Swim,Swim,Swim
2017-06-27,NoSwim,Swim,Swim,Swim,NoSwim
2017-06-28,Swim,Swim,Swim,Swim,Swim
2017-06-29,Swim,Swim,Swim,Swim,NoSwim
2017-06-30,Rain,Rain,Rain,Rain,Rain
2017-07-01,Swim,Rain,NoSwim,NoSwim,NoSwim
2017-07-02,Swim,Rain,NoSwim,Rain,Rain
2017-07-03,Swim,NoSwim,NoSwim,Swim,NoSwim
2017-07-04,NoSwim,NoSwim,NoSwim,NoSwim,NoSwim
2017-07-05,Swim,Swim,Swim,NoSwim,NoSwim
