Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2015-08-05,106.2675526,123.8216266,59.66290001,17.41101127,40.52636973
2015-08-06,49.39346189,10,56.50469001,161.1795025,30.62977356
2015-08-07,15.15716567,18.88175023,80.11296179,38.1677891,44.40369116
2015-08-08,11.48698355,17.41101127,21.68943542,31.29134645,24.91461879
2015-08-09,13.19507911,13.19507911,21.68943542,11.48698355,40.95345022
2015-08-10,23.52158045,22.20643035,29.92555739,136.7002173,42.25558521
2015-08-11,36.41128406,566.762977,72.22690889,278.7075104,207.6110851
2015-08-12,230.9979946,97.3241806,175.2877724,54.69760137,352.3687436
2015-08-13,66.93909766,17.41101127,92.75032818,126.181372,96.14879993
2015-08-14,16.4375183,21.68943542,56.9679052,102.5469177,80.4174801
2015-08-15,45.9479342,36.50186051,33.65865436,39.73077521,103.2955148
2016-06-18,10,15.15716567,14.30969081,15.15716567,26.72949404
2016-06-19,11.48698355,11.48698355,10,11.48698355,20
2016-06-20,20.47672511,30.63887063,10,20.47672511,27.01920077
2016-06-21,12.4573094,10,11.48698355,58.27386917,231.2289807
2016-06-22,15.15716567,45.54610199,10,28.85399812,95.54617248
2016-06-23,18.88175023,46.43984379,11.48698355,17.82602458,93.20604047
2016-06-24,13.79729661,14.30969081,11.48698355,27.59459323,80.6758806
2016-06-25,12.4573094,12.4573094,28.252345,28.252345,41.70989376
2016-06-26,10,12.4573094,15.15716567,12.4573094,36.50186051
2016-06-27,13.19507911,48.51609669,10,12.4573094,15.15716567
2016-06-28,10,26.05171085,69.46115556,13.79729661,51.56006442
2016-06-29,26.05171085,218.4929841,11.48698355,27.01920077,225.0233836
2016-06-30,90.58226612,38.98059841,18.88175023,20.91279105,40.7846946
2016-07-01,13.79729661,37.27919273,11.48698355,15.15716567,51.89657433
2016-07-02,13.79729661,17.82602458,11.48698355,15.15716567,16.4375183
2016-07-03,51.93957121,335.0977486,37.91955329,18.20564203,81.94951592
2016-07-04,17.82602458,44.73707659,16.4375183,25.50849001,61.27774126
2016-07-05,10,52.93914184,17.82602458,11.89207115,22.89428485
2016-07-06,11.48698355,22.67933155,11.48698355,20.47672511,27.94899025
2016-07-07,11.48698355,95.30397766,10,11.48698355,15.81895356
2016-07-08,17.82602458,15.15716567,43.03455054,528.8513007,37.40064735
2016-07-09,31.03691148,14.30969081,17.41101127,16.4375183,40.0580362
2016-07-10,10,21.68943542,19.33182045,91.44271086,186.0246779
2016-07-11,68.53467509,41.69405251,243.7219477,58.27386917,608.8384633
2016-07-12,31.03691148,32.87503659,131.2142457,176.1776038,166.7663331
2016-07-13,52.42507219,13.19507911,27.24069927,72.04075459,86.01212076
2016-07-14,126.7939317,11.48698355,42.4964494,272.8414559,177.2930302
2016-07-15,15.15716567,129.5591503,57.46062557,43.84327655,1000
2016-07-16,84.68716102,73.2721243,545.0160124,40.42823217,159.365671
2016-07-17,38.6636409,24.08224685,46.17892927,144.2237946,238.8520138
2016-07-18,11.48698355,73.60219228,44.4128607,348.8382514,69.03498132
2016-07-19,14.30969081,20,78.69648926,96.98341166,45.12993097
2016-07-20,26.39015822,17.18771928,27.66323734,36.80109614,51.82528531
2016-07-21,17.82602458,58.41883084,11.48698355,45.471497,29.35708966
2016-07-22,11.48698355,11.48698355,22,14.30969081,37.98978028
2016-07-23,27.01920077,17.41101127,11.48698355,56.21929819,40.07213125
2016-07-24,35.94431819,100.4086465,10,29.30156052,20.91279105
2016-07-25,13.19507911,10,10,23.52158045,23.52158045
2016-07-26,10,72.5935618,134.8247245,69.99416812,31.37587274
2016-07-27,47.67911007,132.3807781,35.19482029,232.963952,133.6600249
2016-07-28,26.30716865,39.87421134,25.50849001,37.27919273,58.55266993
2016-07-29,20.47672511,18.88175023,81.73554559,65.78428239,391.1900061
2016-07-30,13.19507911,39.87421134,121.6222103,22.67933155,51.13634452
2016-07-31,10,21.68943542,16.4375183,16.4375183,28.61938162
2016-08-01,67.52637272,14.30969081,24.91461879,88.25755561,37.44342461
2016-08-02,55.01563212,11.48698355,12.4573094,34.46095065,27.64033702
2016-08-03,132.7228519,29.92555739,55.92799081,12.4573094,37.56274081
2016-08-04,14.30969081,18.88175023,12.4573094,21.68943542,22.28371856
2016-08-05,80.85646434,15.51845574,81.94951592,10,318.112867
2016-08-06,14.30969081,49.67253876,74.59717757,22.20643035,41.4672114
2016-08-07,27.76494317,36.80109614,15.51845574,18.88175023,33.65865436
2016-08-08,98.78692378,37.06974581,18.88175023,11.48698355,18.88175023
2016-08-09,29.92555739,49.03550052,10,43.84327655,30.72491419
2016-08-10,58.27386917,41.12268512,79.46155042,62.26660252,20.22934171
2016-08-11,21.86724148,75.6006141,166.6457121,14.30969081,34.55226309
2016-08-12,55.01563212,22.20643035,67.48785223,13.19507911,29.35708966
2016-08-13,20,30.21900136,24.02248868,124.9839575,46.15752846
2016-08-14,55.73036045,66.99875827,281.9347658,46.17892927,59.66290001
2016-08-15,88.04890658,220.7661768,664.3076973,416.5218511,288.8580121
2016-08-16,48.51609669,86.17380833,1000,127.9238103,581.7311067
2016-08-17,14.30969081,14.30969081,236.4964119,134.9870309,401.6789921
2016-08-18,31.69786385,89.27227693,340.720079,219.0107458,213.5071552
2016-08-19,17.82602458,51.43520797,222.8663101,309.1596639,758.2715992
2016-08-20,26.05171085,23.52158045,575.4933354,106.1291829,806.1923935
2016-08-21,10,33.65865436,70.38964058,203.1815306,193.3182045
2016-08-22,23,82.31867283,187.6025997,64.21618893,94.55932407
